HexId,Q,R,PlotId
0,0,0,0
1,-1,0,1
2,-1,1,2
3,0,-1,3
4,0,1,4
5,1,-1,5
6,1,0,6
7,-2,0,7
8,-2,1,8
9,-2,2,9
10,-1,-1,10
11,-1,2,11
12,0,-2,12
13,0,2,13
14,1,-2,14
15,1,1,15
16,2,-2,16
17,2,-1,17
18,2,0,18
19,-3,0,19
20,-3,1,20
21,-3,2,21
22,-3,3,22
23,-2,-1,23
24,-2,3,24
25,-1,-2,25
26,-1,3,26
27,0,-3,27
28,0,3,28
29,1,-3,29
30,1,2,30
31,2,-3,31
32,2,1,32
33,3,-3,33
34,3,-2,34
35,3,-1,35
36,3,0,36
37,-4,0,37
38,-4,1,38
39,-4,2,39
40,-4,3,40
41,-4,4,41
42,-3,-1,42
43,-3,4,43
44,-2,-2,44
45,-2,4,45
46,-1,-3,46
47,-1,4,47
48,0,-4,48
49,0,4,49
50,1,-4,50
51,1,3,51
52,2,-4,52
53,2,2,53
54,3,-4,54
55,3,1,55
56,4,-4,56
57,4,-3,57
58,4,-2,58
59,4,-1,59
60,4,0,60
61,-5,0,61
62,-5,1,62
63,-5,2,63
64,-5,3,64
65,-5,4,65
66,-5,5,66
67,-4,-1,67
68,-4,5,68
69,-3,-2,69
70,-3,5,70
71,-2,-3,71
72,-2,5,72
73,-1,-4,73
74,-1,5,74
75,0,-5,75
76,0,5,76
77,1,-5,77
78,1,4,78
79,2,-5,79
80,2,3,80
81,3,-5,-9
82,3,2,82
83,4,-5,83
84,4,1,84
85,5,-5,85
86,5,-4,86
87,5,-3,-10
88,5,-2,-10
89,5,-1,89
90,5,0,90
91,-6,0,91
92,-6,1,92
93,-6,2,93
94,-6,3,94
95,-6,4,95
96,-6,5,96
97,-6,6,97
98,-5,-1,98
99,-5,6,99
100,-4,-2,100
101,-4,6,101
102,-3,-3,102
103,-3,6,103
104,-2,-4,104
105,-2,6,105
106,-1,-5,106
107,-1,6,107
108,0,-6,108
109,0,6,109
110,1,-6,110
111,1,5,111
112,2,-6,112
113,2,4,113
114,3,-6,-9
115,3,3,115
116,4,-6,-9
117,4,2,117
118,5,-6,118
119,5,1,119
120,6,-6,120
121,6,-5,121
122,6,-4,122
123,6,-3,-10
124,6,-2,-10
125,6,-1,125
126,6,0,126
127,-7,0,127
128,-7,1,128
129,-7,2,129
130,-7,3,130
131,-7,4,131
132,-7,5,132
133,-7,6,133
134,-7,7,134
135,-6,-1,135
136,-6,7,136
137,-5,-2,137
138,-5,7,138
139,-4,-3,139
140,-4,7,140
141,-3,-4,-4
142,-3,7,142
143,-2,-5,-4
144,-2,7,144
145,-1,-6,145
146,-1,7,146
147,0,-7,147
148,0,7,148
149,1,-7,149
150,1,6,150
151,2,-7,151
152,2,5,152
153,3,-7,-9
154,3,4,154
155,4,-7,-9
156,4,3,156
157,5,-7,-9
158,5,2,158
159,6,-7,159
160,6,1,160
161,7,-7,-13
162,7,-6,162
163,7,-5,163
164,7,-4,164
165,7,-3,165
166,7,-2,166
167,7,-1,167
168,7,0,168
169,-8,0,169
170,-8,1,170
171,-8,2,171
172,-8,3,172
173,-8,4,173
174,-8,5,174
175,-8,6,175
176,-8,7,176
177,-8,8,177
178,-7,-1,178
179,-7,8,179
180,-6,-2,180
181,-6,8,181
182,-5,-3,182
183,-5,8,183
184,-4,-4,-4
185,-4,8,185
186,-3,-5,-4
187,-3,8,187
188,-2,-6,188
189,-2,8,189
190,-1,-7,190
191,-1,8,191
192,0,-8,192
193,0,8,193
194,1,-8,194
195,1,7,195
196,2,-8,196
197,2,6,197
198,3,-8,198
199,3,5,199
200,4,-8,200
201,4,4,201
202,5,-8,202
203,5,3,203
204,6,-8,204
205,6,2,205
206,7,-8,-13
207,7,1,207
208,8,-8,-13
209,8,-7,209
210,8,-6,210
211,8,-5,211
212,8,-4,212
213,8,-3,213
214,8,-2,214
215,8,-1,215
216,8,0,216
217,-9,0,217
218,-9,1,218
219,-9,2,219
220,-9,3,220
221,-9,4,221
222,-9,5,222
223,-9,6,223
224,-9,7,224
225,-9,8,225
226,-9,9,226
227,-8,-1,227
228,-8,9,228
229,-7,-2,229
230,-7,9,230
231,-6,-3,231
232,-6,9,232
233,-5,-4,233
234,-5,9,234
235,-4,-5,235
236,-4,9,236
237,-3,-6,237
238,-3,9,238
239,-2,-7,239
240,-2,9,240
241,-1,-8,241
242,-1,9,242
243,0,-9,243
244,0,9,244
245,1,-9,245
246,1,8,246
247,2,-9,247
248,2,7,248
249,3,-9,249
250,3,6,250
251,4,-9,251
252,4,5,252
253,5,-9,253
254,5,4,254
255,6,-9,255
256,6,3,256
257,7,-9,257
258,7,2,258
259,8,-9,259
260,8,1,260
261,9,-9,261
262,9,-8,262
263,9,-7,263
264,9,-6,264
265,9,-5,265
266,9,-4,266
267,9,-3,267
268,9,-2,268
269,9,-1,269
270,9,0,270
271,-10,0,-2
272,-10,1,272
273,-10,2,273
274,-10,3,274
275,-10,4,275
276,-10,5,276
277,-10,6,277
278,-10,7,278
279,-10,8,279
280,-10,9,280
281,-10,10,-3
282,-9,-1,282
283,-9,10,283
284,-8,-2,284
285,-8,10,285
286,-7,-3,286
287,-7,10,287
288,-6,-4,288
289,-6,10,289
290,-5,-5,290
291,-5,10,291
292,-4,-6,292
293,-4,10,293
294,-3,-7,294
295,-3,10,295
296,-2,-8,296
297,-2,10,297
298,-1,-9,298
299,-1,10,299
300,0,-10,-6
301,0,10,-7
302,1,-10,302
303,1,9,303
304,2,-10,304
305,2,8,305
306,3,-10,306
307,3,7,307
308,4,-10,308
309,4,6,309
310,5,-10,310
311,5,5,311
312,6,-10,312
313,6,4,313
314,7,-10,314
315,7,3,315
316,8,-10,316
317,8,2,317
318,9,-10,318
319,9,1,319
320,10,-10,-12
321,10,-9,-12
322,10,-8,322
323,10,-7,323
324,10,-6,324
325,10,-5,325
326,10,-4,326
327,10,-3,327
328,10,-2,328
329,10,-1,329
330,10,0,-11
331,-11,0,-2
332,-11,1,-2
333,-11,2,333
334,-11,3,334
335,-11,4,335
336,-11,5,336
337,-11,6,337
338,-11,7,338
339,-11,8,339
340,-11,9,340
341,-11,10,-3
342,-11,11,-3
343,-10,-1,-2
344,-10,11,-3
345,-9,-2,345
346,-9,11,346
347,-8,-3,347
348,-8,11,348
349,-7,-4,349
350,-7,11,350
351,-6,-5,351
352,-6,11,352
353,-5,-6,353
354,-5,11,354
355,-4,-7,355
356,-4,11,356
357,-3,-8,357
358,-3,11,358
359,-2,-9,359
360,-2,11,360
361,-1,-10,-6
362,-1,11,-7
363,0,-11,-6
364,0,11,-7
365,1,-11,-6
366,1,10,-7
367,2,-11,367
368,2,9,368
369,3,-11,369
370,3,8,370
371,4,-11,371
372,4,7,372
373,5,-11,373
374,5,6,374
375,6,-11,375
376,6,5,376
377,7,-11,377
378,7,4,378
379,8,-11,379
380,8,3,380
381,9,-11,381
382,9,2,382
383,10,-11,-12
384,10,1,-11
385,11,-11,-12
386,11,-10,-12
387,11,-9,-12
388,11,-8,388
389,11,-7,389
390,11,-6,390
391,11,-5,391
392,11,-4,392
393,11,-3,393
394,11,-2,394
395,11,-1,-11
396,11,0,-11
